Rank,Player,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,David Johnson,ARI,RB1,8,1,3,1.2,0.5,1,0
2,Le'Veon Bell,PIT,RB2,9,1,4,1.8,0.5,2,0
3,Antonio Brown,PIT,WR1,9,1,4,3,0.4,3,0
4,Julio Jones,ATL,WR2,5,3,14,5.5,2,4,0
5,Odell Beckham Jr.,NYG,WR3,8,4,10,5.7,1.1,5,0
6,LeSean McCoy,BUF,RB3,6,3,30,7,3.8,6,0
7,A.J. Green,CIN,WR4,6,5,17,8.5,2.6,8,1
8,Mike Evans,TB,WR5,11,4,16,8.8,2.6,7,-1
9,Melvin Gordon,LAC,RB4,9,4,19,9.3,3.2,10,1
10,Devonta Freeman,ATL,RB5,5,4,27,9.6,3.4,9,-1
11,Jordy Nelson,GB,WR6,8,5,22,10.9,3.4,11,0
12,DeMarco Murray,TEN,RB6,8,8,48,14.1,5.3,13,1
13,Jay Ajayi,MIA,RB7,11,4,39,14.8,5.8,15,2
14,Michael Thomas,NO,WR7,5,6,19,13,2.7,12,-2
15,Jordan Howard,CHI,RB8,9,8,39,15.6,5.8,14,-1
16,Doug Baldwin,SEA,WR8,6,12,41,19.3,4.2,22,6
17,Dez Bryant,DAL,WR9,6,10,36,19.3,5.2,17,0
18,Amari Cooper,OAK,WR10,10,10,45,19.7,4.6,19,1
19,Todd Gurley,LAR,RB9,8,9,53,21,6.9,18,-1
20,T.Y. Hilton,IND,WR11,11,11,43,21.7,6.5,21,1
21,Brandin Cooks,NE,WR12,9,12,71,22.1,9.2,24,3
22,Rob Gronkowski,NE,TE1,9,13,88,23.2,10.3,20,-2
23,Demaryius Thomas,DEN,WR13,5,15,48,25.1,6,29,6
24,DeAndre Hopkins,HOU,WR14,7,16,47,26.3,6.6,27,3
25,Keenan Allen,LAC,WR15,9,13,72,31.3,9.9,32,7
26,Isaiah Crowell,CLE,RB10,9,15,61,31.3,9.1,33,7
27,Leonard Fournette,JAC,RB11,8,12,81,32.8,12.4,25,-2
28,Ezekiel Elliott,DAL,RB12,6,4,121,34,16.1,16,-12
29,Travis Kelce,KC,TE2,10,21,57,34.8,6.8,34,5
30,Lamar Miller,HOU,RB13,7,11,107,35.1,14.3,28,-2
31,Terrelle Pryor,WAS,WR16,5,19,80,36.4,13.3,31,0
32,Alshon Jeffery,PHI,WR17,10,18,75,36.9,10.3,37,5
33,Larry Fitzgerald,ARI,WR18,8,8,98,38.8,13.3,47,14
34,Michael Crabtree,OAK,WR19,10,24,72,39.1,9.8,39,5
35,Allen Robinson,JAC,WR20,8,20,71,39.1,11,45,10
36,Golden Tate,DET,WR21,7,20,95,39.3,12.9,46,10
37,Christian McCaffrey,CAR,RB14,11,15,100,40,15.7,26,-11
38,Dalvin Cook,MIN,RB15,9,11,108,40.4,16.9,35,-3
39,Aaron Rodgers,GB,QB1,8,31,200,38.5,18.6,23,-16
40,Davante Adams,GB,WR22,8,16,86,42.1,14,38,-2
41,Ty Montgomery,GB,RB16,8,15,155,43.5,18.9,41,0
42,Tom Brady,NE,QB2,9,32,59,40.7,5.5,30,-12
43,Marshawn Lynch,OAK,RB17,10,24,99,45,15.2,36,-7
44,Carlos Hyde,SF,RB18,11,17,129,45.3,14.3,44,0
45,Jarvis Landry,MIA,WR23,11,14,99,47.4,16.4,43,-2
46,Greg Olsen,CAR,TE3,11,26,66,48,6.3,48,2
47,Kareem Hunt,KC,RB19,10,1,129,48.1,26.7,68,21
48,Drew Brees,NO,QB3,5,35,68,47.2,6.2,42,-6
49,Jordan Reed,WAS,TE4,5,30,109,51.9,13.2,50,1
50,Stefon Diggs,MIN,WR24,9,20,83,53,15.4,55,5
51,Mark Ingram,NO,RB20,5,12,96,53.7,13.8,54,3
52,Joe Mixon,CIN,RB21,6,22,151,54.5,19.4,40,-12
53,Emmanuel Sanders,DEN,WR25,5,32,107,54.9,14.3,58,5
54,Bilal Powell,NYJ,RB22,11,17,106,55.2,13.8,59,5
55,Tyreek Hill,KC,WR26,10,9,138,55.6,16.5,49,-6
56,Sammy Watkins,LAR,WR27,8,24,107,55.8,17.8,52,-4
57,Danny Woodhead,BAL,RB23,10,12,165,56.8,20.3,61,4
58,Jamison Crowder,WAS,WR28,5,28,106,57.2,15.4,62,4
59,C.J. Anderson,DEN,RB24,5,23,126,59.4,16.3,60,1
60,Jimmy Graham,SEA,TE5,6,39,103,60.8,12.7,57,-3
61,Martavis Bryant,PIT,WR29,9,33,126,64,17.6,51,-10
62,Kelvin Benjamin,CAR,WR30,11,25,119,65.9,16,53,-9
63,Russell Wilson,SEA,QB4,6,37,99,62.8,11.4,64,1
64,Ameer Abdullah,DET,RB25,7,34,157,66.5,18.1,63,-1
65,Willie Snead,NO,WR31,5,40,105,68,13.4,65,0
66,Matt Ryan,ATL,QB5,5,37,127,64.8,14.2,56,-10
67,Pierre Garcon,SF,WR32,11,24,153,68.8,19.5,71,4
68,Tevin Coleman,ATL,RB26,5,27,102,68.9,14.1,67,-1
69,Brandon Marshall,NYG,WR33,8,31,137,73.5,17.2,66,-3
70,Kyle Rudolph,MIN,TE6,9,34,127,74.4,15.4,69,-1
71,Tyler Eifert,CIN,TE7,6,33,131,76.6,17.1,75,4
72,Frank Gore,IND,RB27,11,26,140,77.8,18.4,76,4
73,Jeremy Maclin,BAL,WR34,10,38,128,76.5,16.2,88,15
74,Theo Riddick,DET,RB28,7,41,207,80.2,22.2,79,5
75,Kirk Cousins,WAS,QB6,5,50,149,77.8,17,82,7
76,Devante Parker,MIA,WR35,11,49,132,81.1,16.9,70,-6
77,Zach Ertz,PHI,TE8,10,25,128,83.2,17.3,81,4
78,Andrew Luck,IND,QB7,11,37,153,80.5,23.3,83,5
79,Mike Gillislee,NE,RB29,9,42,149,84.9,20.4,72,-7
80,Delanie Walker,TEN,TE9,8,16,121,86.1,15.9,74,-6
81,Donte Moncrief,IND,WR36,11,36,135,86.5,19.9,85,4
82,Marcus Mariota,TEN,QB8,8,54,163,82.7,18.9,86,4
83,DeSean Jackson,TB,WR37,11,59,145,87,13.6,87,4
84,Doug Martin,TB,RB30,11,43,158,89.9,24.6,77,-7
85,Jameis Winston,TB,QB9,11,54,149,87.2,18,78,-7
86,Duke Johnson,CLE,RB31,9,33,218,89.3,23.2,96,10
87,Cam Newton,CAR,QB10,11,54,135,86.5,17.5,91,4
88,Adrian Peterson,NO,RB32,5,44,178,92.5,23.4,73,-15
89,Eric Decker,TEN,WR38,8,47,133,91.6,16.2,92,3
90,Tyrell Williams,LAC,WR39,9,36,142,91.9,20.5,98,8
91,Paul Perkins,NYG,RB33,8,40,236,94.3,27.4,80,-11
92,Terrance West,BAL,RB34,10,37,232,94.1,26.8,99,7
